Tournament,Date,Organizer,Host City,Winners,Finals Result
"November 28–30, 2013",DreamHack,Jönköping,Fnatic,2–1,Ninjas in Pyjamas
"March 13–16, 2014",ESL,Katowice,Virtus.pro,2–0,Ninjas in Pyjamas
"August 14–17, 2014",ESL,Cologne,Ninjas in Pyjamas,2–1,Fnatic
"November 27–December 29, 2014",DreamHack,Jönköping,Team LDLC.com,2–1,Ninjas in Pyjamas
"March 12–15, 2015",ESL,Katowice,Fnatic,2–1,Ninjas in Pyjamas
"August 20–23, 2015",ESL,Cologne,Fnatic,2–0,Team EnVyUs
"October 28–November 1, 2015",DreamHack,Cluj-Napoca,Team EnVyUs,2–0,Natus Vincere
"March 29–April 3, 2016",Major League Gaming,Columbus,Luminosity Gaming,2–0,Natus Vincere
"July 5–10, 2016",ESL,Cologne,SK Gaming,2–0,Team Liquid
"January 22–29, 2017",ELEAGUE,Atlanta,Astralis,2–1,Virtus.pro
"July 16–23, 2017",PGL,Kraków,Gambit Esports,2–1,Immortals
"January 12–28, 2018",ELEAGUE,Atlanta/Boston[a],Cloud9,2–1,FaZe Clan
"September 5–23, 2018",FACEIT,London,Astralis,2–0,Natus Vincere
"February 13–March 3, 2019",ESL,Katowice,Astralis,2–0,ENCE
"August 23–September 8, 2019","StarLadder, ImbaTV",Berlin,Astralis,2–0,AVANGAR
"October 26–November 7, 2021",PGL,Stockholm,Natus Vincere,2–0,G2 Esports
"May 9–22, 2022",PGL,Antwerp,FaZe Clan,2–0,Natus Vincere
"October 31–November 13, 2022[b]",ESL,Rio de Janeiro,Outsiders[c],2–0,Heroic
"May 8–May 21, 2023",BLAST,Paris,Team Vitality,2–0,GamerLegion
"March 17–31, 2024",PGL,Copenhagen,Natus Vincere,2–1,FaZe Clan
"December 1–15, 2024",Perfect World,Shanghai,–,–,–
"June 9–22, 2025",BLAST,Austin,–,–,–
